year,distr,avtemp,totalrain,crops,trend,plntdha,prodmt,basalfert,topfert,aprrain,marrain,febrain,janrain,aprtemp,martemp,febtemp,jantemp,octrain,novrain,decrain,octtemp,novtemp,dectemp,totaltemp,tempsd,rainsd,aezs,ageczs,meanrain,raincov,meantemp,tempcov,aez3,aez2a,aez2b,aez1,prodkgs,yieldkgs,temp2,rain2,amchnge2,temprain,ondtemp,jfmtemp,ondrain,jfmrain,amchnge,lnyieldkgs,lnavtemp,lntotalrain,lnondrain,lnjfmrain,lnondtemp,lnjfmtemp,lnamchnge,lntempcov,lnraincov,aers,aer1,aer2,aer3,aer4,dup
1982.0,Isoka,22.39,1041.7000732421875,Maize  ,2.0,2875.0,2160.0,0.0,0.0,123.0,311.7,234.7,316.7,21.05,21.55,21.85,21.6,2.0,33.5,143.1,,24.25,22.7,111.95,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,2.16e+06,751.3043,501.31207,1.085139e+06,1.8562285,23323.664,23.475,21.666666,178.6,863.10004,-1.3624347,6.621811,3.1086144,6.9486094,5.1851487,6.7605305,3.155936,3.075775,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Kabompo,24.275,853.0999755859375,Maize  ,2.0,860.0,1152.0,0.0,0.0,43.6,30.7,221.0,281.5,22.95,23.8,24.0,23.55,36.7,159.4,123.8,25.45,24.6,24.25,145.65001,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,1.152e+06,1339.5349,589.27563,727779.56,0.14903189,20709.002,24.766666,23.783333,319.9,533.2,0.3860465,7.2000775,3.189447,6.7488766,5.768008,6.278897,3.2094986,3.1689851,-0.9517974,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Kabwe,23.116667,631.2999877929688,Maize  ,2.0,42130.0,82318.5,0.0,0.0,9.5,31.7,229.5,287.5,21.45,22.3,22.0,22.15,0.0,20.3,62.3,23.6,24.55,24.1,138.7,0.8137129,207.71645,2.0,2.0,837.8716,24.790964,23.784863,3.4211376,0.0,0.0,1.0,0.0,8.23185e+07,1953.9164,534.3803,398539.7,0.42159024,14593.552,24.083334,22.15,,548.7,-0.6492998,7.577591,3.140554,6.447781,,6.307552,3.18152,3.0978374,,1.2299731,3.2104793,AERIIa,0.0,1.0,0.0,0.0,0.0
1982.0,Kafue,23.608334,814.2999877929688,Maize  ,2.0,13500.0,23688.45,0.0,0.0,1.7,7.3,157.9,287.8,21.2,22.7,23.05,22.9,0.0,202.6,158.7,24.65,24.95,23.4,141.65,0.8137129,207.71645,1.0,1.0,689.4936,30.125942,24.191387,3.3636472,0.0,1.0,0.0,0.0,2.368845e+07,1754.7,557.3534,663084.5,1.8095231,19224.266,24.333334,22.883333,361.3,452.99997,-1.3451852,7.470053,3.1615999,6.7023287,5.8897085,6.115892,3.191847,3.1304088,,1.2130259,3.4053867,AERI,1.0,0.0,0.0,0.0,0.0
1982.0,Kasama,22.458334,1004.3999633789062,Maize  ,2.0,2225.0,9753.57,0.0,0.0,160.3,319.8,174.4,232.85,22.55,23.35,22.5,21.150002,12.3,81.75,183.3,23.2,22.45,22.1,134.75,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,9.75357e+06,4383.627,504.37677,1.0088193e+06,8.814894,22557.15,22.583334,22.333334,277.35,727.05,-2.9689887,8.385632,3.1116617,6.9121456,5.6252804,6.5889955,3.1172123,3.1060803,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Kasempa,22.475,661.8999633789062,Maize  ,2.0,850.0,1341.0,0.0,0.0,45.3,22.8,239.2,201.4,20.75,21.2,22.25,22.0,11.2,103.4,83.9,23.25,23.8,22.35,134.85,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,1.341e+06,1577.6471,505.12564,438111.56,27.4946,14876.202,23.133333,21.816668,198.5,463.39996,-5.2435293,7.36369,3.1124036,6.4951143,5.290789,6.1385903,3.1412747,3.0826743,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Kawambwa,23.275,1018.9000244140625,Maize  ,2.0,899.0,1186.38,0.0,0.0,144.7,196.3,85.4,256.4,22.45,23.15,22.1,22.05,71.4,55.7,353.7,25.05,24.0,23.3,139.65,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,1.18638e+06,1319.6663,541.7256,1.03815725e+06,79.6045,23714.898,24.116667,22.433332,480.80002,538.1,-8.922135,7.185134,3.1473799,6.926479,6.1754513,6.2880445,3.182903,3.110548,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Livingstone,23.483334,355.1000061035156,Maize  ,2.0,5384.0,6016.5,0.0,0.0,16.4,31.8,67.9,109.4,21.75,22.85,23.35,23.2,7.6,104.3,34.1,24.05,23.9,23.55,140.9,0.8137129,207.71645,1.0,1.0,689.4936,30.125942,24.191387,3.3636472,0.0,1.0,0.0,0.0,6.0165e+06,1117.4777,551.467,126096.016,0.07617764,8338.932,23.833332,23.133333,146.0,209.1,-0.27600297,7.0188293,3.156291,5.8723993,4.983607,5.3428125,3.1710851,3.1412747,,1.2130259,3.4053867,AERI,1.0,0.0,0.0,0.0,0.0
1982.0,Mansa,22.891666,837.2000122070312,Maize  ,2.0,1115.0,2712.15,0.0,0.0,57.1,111.0,240.4,223.3,21.75,22.7,21.9,21.95,30.0,109.9,122.6,23.15,24.25,23.4,137.35,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,2.71215e+06,2432.4216,524.0284,700903.9,137.25752,19164.904,23.6,22.183334,262.5,574.7,-11.715695,7.796643,3.1307728,6.730063,5.570251,6.353848,3.1612468,3.0993414,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Mazabuka,22.583332,608.2999877929688,Maize  ,2.0,22000.0,54000.0,0.0,0.0,6.4,15.2,188.2,282.0,20.15,21.4,21.65,22.1,6.4,54.9,61.6,23.05,24.15,23.15,135.5,0.8137129,207.71645,2.0,2.0,837.8716,24.790964,23.784863,3.4211376,0.0,0.0,1.0,0.0,5.4e+07,2454.5454,510.0069,370028.88,0.38778925,13737.44,23.449999,21.716667,122.9,485.40002,-0.6227273,7.805697,3.117212,6.4106684,4.811371,6.1849732,3.1548705,3.07808,,1.2299731,3.2104793,AERIIa,0.0,1.0,0.0,0.0,0.0
1982.0,Mbala,22.666666,954.0999755859375,Maize  ,2.0,6082.0,15984.0,0.0,0.0,127.4,242.4,276.4,280.6,22.3,22.25,21.25,21.45,14.7,48.2,91.8,23.9,24.0,23.15,136.0,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,1.5984e+07,2628.0828,513.7778,910306.75,0.12942013,21626.266,23.683332,21.65,154.70001,799.4,-0.3597501,7.87401,3.1208954,6.8607683,5.0414877,6.6838613,3.1647716,3.0750055,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Mongu,24.516666,571.7999877929688,Maize  ,2.0,1433.0,1561.59,0.0,0.0,115.1,105.6,141.9,234.8,23.2,23.75,24.35,24.25,4.6,82.9,2.0,24.85,25.45,24.45,147.1,0.8137129,207.71645,3.0,2.0,837.8716,24.790964,23.784863,3.4211376,0.0,0.0,0.0,1.0,1.56159e+06,1089.7349,601.06696,326955.22,1.2080051,14018.63,24.916668,24.116667,,482.30002,-1.0990928,6.9936895,3.1993532,6.348789,,6.1785665,3.215537,3.182903,,1.2299731,3.2104793,AERIIb,0.0,0.0,1.0,0.0,0.0
1982.0,Mumbwa,21.9,930.1000366210938,Maize  ,2.0,12304.0,15930.0,0.0,0.0,32.5,39.7,245.6,290.3,21.4,21.85,21.5,22.35,,,,,,,65.7,0.8137129,207.71645,2.0,2.0,837.8716,24.790964,23.784863,3.4211376,0.0,0.0,1.0,0.0,1.593e+07,1294.7009,479.61,865086.06,2.2390413,20369.191,,21.9,,575.60004,-1.4963427,7.166035,3.0864866,6.8352923,,6.355413,,3.0864866,,1.2299731,3.2104793,AERIIa,0.0,1.0,0.0,0.0,0.0
1982.0,Mwinilunga,,1177.4000244140625,Maize  ,2.0,240.0,360.0,0.0,0.0,,,,207.0,,,,,94.2,284.8,208.7,,,,0.0,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,360000.0,1500.0,,1.3862709e+06,0.0034027777,,,,587.7,207.0,0.058333334,7.3132205,,7.071064,6.3762164,5.332719,,,-2.8415816,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Ndola,22.425,847.7999877929688,Maize  ,2.0,4618.0,7046.91,0.0,0.0,67.1,56.1,282.1,272.8,21.05,21.8,22.15,21.95,7.3,158.2,71.3,23.2,23.2,22.25,134.55,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,7.04691e+06,1525.9658,502.88058,718764.8,23.78516,19011.914,22.883333,21.966667,236.8,611.0,-4.877003,7.330383,3.1101763,6.742645,5.467216,6.4150968,3.1304088,3.0895262,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
1982.0,Petauke,24.058334,794.7000122070312,Maize  ,2.0,48089.0,37814.4,0.0,0.0,40.9,52.5,247.5,301.7,22.6,23.5,23.15,22.75,23.2,83.2,86.6,24.75,25.95,24.25,144.35,0.8137129,207.71645,2.0,2.0,837.8716,24.790964,23.784863,3.4211376,0.0,0.0,1.0,0.0,3.78144e+07,786.342,578.80347,631548.1,0.073744275,19119.158,24.983334,23.133333,193.0,601.7,0.27155897,6.667392,3.1804814,6.6779647,5.26269,6.399759,3.218209,3.1412747,-1.303576,1.2299731,3.2104793,AERIIa,0.0,1.0,0.0,0.0,0.0
1982.0,Samfya,23.76,853.0,Maize  ,2.0,371.0,582.75,0.0,0.0,212.1,152.4,218.4,293.2,22.65,23.9,22.65,22.2,0.0,78.5,110.5,,25.7,24.35,118.8,0.8137129,207.71645,0.0,3.0,1028.87,20.188795,22.989763,3.5394576,1.0,0.0,0.0,0.0,582750.0,1570.7548,564.5376,727609.0,175.15201,20267.28,25.025002,22.916666,189.0,664.0,-13.234501,7.3593116,3.1680036,6.7487597,5.241747,6.498282,3.2198753,3.1318643,,1.2639735,3.0051277,AERIII,0.0,0.0,0.0,1.0,0.0
